pid,Amoeba,Bacteriastrum,Chaetoceros,Ciliophora,Copepod_nauplii,Cryptophyta,Cylindrotheca,Dictyocha,Dinophyceae,Dinophyceae_morphotype3,Eutintinnus,Gonyaulax,Guinardia_striata,Gyrodinium,Katodinium_or_Torodinium,Laboea_strobila,Leptocylindrus_mediterraneus,Oxytoxum,Phaeocystis,Pleuronema,Pronoctiluca,Proterythropsis,Protoperidinium,Pseliodinium,Pseudo-nitzschia,Rhizosolenia,Strombidium_inclinatum,Strombidium_morphotype1,Syracosphaera_pulchra,Thalassionema,Thalassiosira,Tiarina_fusus,Tripos,Tripos_furca,Tripos_fusus,Tripos_lineatus,Warnowia,bead,bubble,coccolithophorid,colony,detritus,detritus_theca_fragment,detritus_transparent,fecal_pellet,fiber,nanoplankton_mix,pennate,seta
D20210511T152318_IFCB102,0,4,9,8,0,26,8,8,201,582,1,0,0,5,10,0,4,0,12,0,1,0,1,0,43,3,0,2,4,6,33,0,0,0,0,3,0,0,2,29,33,205,0,1,0,8,2979,58,0
D20210511T152650_IFCB115,4,4,3,12,0,22,10,3,202,243,0,4,0,3,9,0,2,3,4,0,0,0,1,0,11,2,0,1,2,1,11,0,0,0,0,3,1,19,11,85,19,397,1,29,1,34,961,23,1
D20210511T154737_IFCB102,4,6,9,6,0,25,9,5,156,389,0,0,0,0,13,1,12,1,12,0,1,0,1,1,44,1,0,1,2,7,29,0,0,0,0,2,0,1,2,18,21,199,0,4,0,7,1933,47,2
D20210511T155111_IFCB115,5,8,2,10,0,23,9,3,175,260,0,0,1,1,6,0,0,4,3,0,0,0,0,0,7,3,0,2,6,2,11,0,0,0,0,2,2,12,4,83,12,400,0,57,0,30,902,31,1
D20210511T161156_IFCB102,1,5,10,3,0,23,17,6,124,403,1,0,0,1,17,1,3,1,11,0,0,0,2,0,54,1,0,0,1,2,22,0,0,0,0,0,0,0,1,13,36,212,1,2,0,9,2549,80,0
D20210511T161649_IFCB115,4,10,1,13,0,21,12,1,149,259,0,2,1,7,14,0,0,0,1,0,0,1,1,0,27,2,0,2,8,14,27,0,0,0,0,3,0,8,8,85,7,462,2,69,1,37,1035,39,1
D20210511T163614_IFCB102,1,4,11,6,0,22,5,4,165,503,1,1,2,10,14,0,3,2,24,0,0,0,0,1,39,7,0,1,1,9,35,0,1,0,0,3,0,0,4,26,43,236,0,3,1,15,3131,73,1
D20210511T164110_IFCB115,9,8,2,11,0,27,5,0,170,272,1,2,0,3,10,0,0,0,2,0,1,2,0,0,15,2,0,0,3,6,12,0,0,0,0,1,2,22,6,78,10,433,1,59,1,29,966,44,0
D20210511T170032_IFCB102,1,5,8,6,1,21,16,4,203,738,0,0,2,4,10,0,6,1,11,0,0,0,1,1,41,0,0,1,0,6,34,0,0,0,0,1,0,1,0,22,40,219,0,0,1,9,4035,56,0
D20210511T170531_IFCB115,2,3,2,9,0,18,13,5,169,272,1,1,0,5,4,0,0,6,1,0,1,0,0,0,18,3,0,1,5,9,16,0,0,0,0,0,1,12,5,87,14,387,0,64,1,23,971,41,2
D20210511T172450_IFCB102,4,2,9,5,1,21,6,6,266,988,1,0,0,5,4,0,9,0,8,1,0,0,1,1,38,0,0,0,0,7,54,0,0,0,0,0,1,0,1,20,58,239,0,0,4,16,3900,57,1
D20210511T173242_IFCB115,5,4,3,11,0,20,5,5,163,207,0,1,1,3,8,0,0,7,1,0,0,0,1,0,10,5,0,1,12,5,19,0,0,0,0,1,0,17,8,88,2,497,0,77,2,48,779,37,3
