mtime,sst,cond,chl,lat,lon,latec,lonec,dx,dy,sss,sstorig,sssorig,tcorr,scorr,datetime
738283.0625,12.4275666666667,41.2052146674676,1.3942,48.9647649248541,-14.9418770536864,48.9910553528605,-14.9003367253452,-3.08539421248686,-2.92336221363652,35.5243986012483,12.7275666666667,35.4829738372759,-0.3,0.0414247639723365,07-May-2021 01:30:00
738283.066666667,12.5005,41.2715177680927,1.38055,48.965007243597,-14.9416204194539,48.9913036141911,-14.9002675027851,-3.07147427220981,-2.9240229992334,35.5194876833093,12.8005,35.4780571372458,-0.3,0.0414305460635441,07-May-2021 01:36:00
738283.070833333,12.4018,41.1926135658811,1.53451666666667,48.965107885725,-14.9414766702637,48.9915518755217,-14.900198280225,-3.0659388312928,-2.94043750562761,35.5365672369771,12.7018,35.4951309088224,-0.3,0.0414363281547518,07-May-2021 01:42:00
738283.075,12.3756166666667,41.1608077485651,1.56116666666667,48.9651708552637,-14.9413798112947,48.9918001368523,-14.9001290576649,-3.06388614612531,-2.96104101284298,35.530623504324,12.6756166666667,35.4891813940781,-0.3,0.0414421102459595,07-May-2021 01:48:00
738283.079166667,12.43748,41.2071269742593,1.47958,48.9651712141243,-14.9413864216893,48.9920483981898,-14.9000598351029,-3.06951861401078,-2.98860651057296,35.516921929087,12.73748,35.4754740367497,-0.3,0.0414478923373287,07-May-2021 01:54:00
738283.083333333,12.4560166666667,41.2331806722857,1.44788333333333,48.9651720781073,-14.9413785828625,48.9922966595203,-14.8999906125428,-3.07407787059889,-3.0161158404835,35.5245345145933,12.7560166666667,35.4830808401647,-0.3,0.0414536744285364,07-May-2021 02:00:00
738283.0875,12.4925333333333,41.265476208581,1.39365,48.9651633055603,-14.9413657749294,48.9925449208509,-14.8999213899826,-3.07826804844461,-3.04469670365499,35.521208911779,12.7925333333333,35.4797494552593,-0.3,0.041459456519744,07-May-2021 02:06:00
738283.091666667,12.4829,41.2608735339446,1.36328333333333,48.9651849976554,-14.94143290379,48.9927931821815,-14.8998521674225,-3.08839550533331,-3.0698900531717,35.5258597616581,12.7829,35.4843945230472,-0.3,0.0414652386109517,07-May-2021 02:12:00
738283.095833333,12.4676166666667,41.24694964258,1.37168333333333,48.9651890235735,-14.9414102624482,48.9930414435121,-14.8997829448624,-3.09185530998786,-3.09704779194811,35.5268695715596,12.7676166666667,35.4853985508575,-0.3,0.0414710207021594,07-May-2021 02:18:00
738283.1,12.476,41.2556808722236,1.3989,48.9652042306403,-14.9412467651318,48.9932897048426,-14.8997137223023,-3.08485308350032,-3.12296224370709,35.5273762781661,12.776,35.4858994753727,-0.3,0.0414768027933671,07-May-2021 02:24:00
738283.104166667,12.4365166666667,41.2235716119925,1.5272,48.9652718416667,-14.9411303786111,48.9935379661732,-14.8996444997422,-3.08134999585218,-3.14304964103192,35.5336908715892,12.7365166666667,35.4922082867046,-0.3,0.0414825848845747,07-May-2021 02:30:00
738283.108333333,12.5372166666667,41.294326407538,1.36538333333333,48.965282488823,-14.9411289473964,48.9937862275038,-14.8995752771821,-3.0863851757159,-3.16947113171007,35.5069135182558,12.8372166666667,35.4654251512801,-0.3,0.0414883669757824,07-May-2021 02:36:00
738283.1125,12.5658166666667,41.3346963509396,1.34038333333333,48.9652835662053,-14.941138720984,48.9940344888413,-14.8995060546201,-3.0922525887225,-3.19695673347578,35.5187762324588,12.8658166666667,35.4772820833917,-0.3,0.0414941490671516,07-May-2021 02:42:00
738283.116666667,12.4980166666667,41.2928531339461,1.44656666666667,48.9653748801695,-14.9408641161959,48.9942827501719,-14.89943683206,-3.07699789134705,-3.21440848436643,35.5423996488575,12.7980166666667,35.5008997176992,-0.3,0.0414999311583593,07-May-2021 02:48:00
738283.120833333,12.4899,41.2638994804502,1.43995,48.9654402066243,-14.9406545676271,48.9945310115024,-14.8993676094999,-3.06657522325133,-3.23474991445725,35.5222185721304,12.7899,35.4807128588808,-0.3,0.041505713249567,07-May-2021 02:54:00
738283.125,12.5002333333333,41.2789617801568,1.40176666666667,48.9654781773776,-14.9404887730367,48.994779272833,-14.8992983869398,-3.05940236749269,-3.2581331597718,35.5269733419091,12.8002333333333,35.4854618465683,-0.3,0.0415114953407747,07-May-2021 03:00:00
738283.129166667,12.5401666666667,41.3128922076498,1.39275,48.965511567839,-14.9404460568738,48.9950275341636,-14.8992291643797,-3.06137112141921,-3.28202571030744,35.5219933428814,12.8401666666667,35.4804760654494,-0.3,0.0415172774319823,07-May-2021 03:06:00
738283.133333333,12.5459,41.323044730458,1.36656666666667,48.9655675706638,-14.9403541548164,48.9952757954942,-14.8991599418196,-3.05968660922051,-3.30340388074779,35.5263529220725,12.8459,35.4848298625493,-0.3,0.04152305952319,07-May-2021 03:12:00
738283.1375,12.5062166666667,41.2953739206801,1.40366666666667,48.96566068,-14.9401807088654,48.9955240568247,-14.8990907192595,-3.05194545116941,-3.32065599538608,35.5371291551543,12.8062166666667,35.4956003135399,-0.3,0.0415288416143977,07-May-2021 03:18:00
